ヘアスタイル,へあすたいる,ヘアスタイル
スニーカー,すにーかー,スニーカー
メイク・スキンケア,めいく・すきんけあ,メイク・スキンケア
古着,ふるぎ,フルギ
ハイブランド,はいぶらんど,ハイブランド
プチプラ,ぷちぷら,プチプラ
時計,とけい,トケイ
パソコン,ぱそこん,パソコン
イヤホン,いやほん,イヤホン
スマートフォン,すまーとふぉん,スマートフォン
AIスピーカー,えーあいすぴーかー,エーアイスピーカー
スマートウォッチ,すまーとうぉっち,スマートウォッチ
ケーキ,けーき,ケーキ
かき氷,かきごおり,カキゴオリ
パンケーキ,ぱんけーき,パンケーキ
パフェ,ぱふぇ,パフェ
抹茶,まっちゃ,マッチャ
写真・カメラ,しゃしん・かめら,シャシン・カメラ
Jポップ,じぇいぽっぷ,ジェイポップ
ロック,ろっく,ロック
ジャズ,じゃず,ジャズ
ヒップホップ,ひっぷほっぷ,ヒップホップ
Ｒ＆Ｂ,あーるあんどびー,アールアンドビー
EDM,いーでぃーえむ,イーディーエム
クラシック,くらしっく,クラシック
アイドルソング,あいどるそんぐ,アイドルソング
アニメソング,あにめそんぐ,アニメソング
ポップス,ぽっぷす,ポップス
パンク,ぱんく,パンク
カフェ,かふぇ,カフェ
ビール,びーる,ビール
日本酒,にほんしゅ,ニホンシュ
ワイン,わいん,ワイン
カクテル,かくてる,カクテル
焼酎,しょうちゅう,ショウチュウ
カラオケ,からおけ,カラオケ
ダーツ・ビリヤード,だーつ・びりやーど,ダーツ・ビリヤード
ボーリング,ぼーりんぐ,ボーリング
ヨガ,よが,ヨガ
ボクササイズ,ぼくささいず,ボクササイズ
筋トレ,きんとれ,キントレ
フットサル,ふっとさる,フットサル
キックボクシング,きっくぼくしんぐ,キックボクシング
バトミントン,ばとみんとん,バトミントン
卓球,たっきゅう,タッキュウ
サッカー,さっかー,サッカー
テニス,てにす,テニス
野球,やきゅう,ヤキュウ
ボルダリング,ぼるだりんぐ,ボルダリング
ランニング,らんにんぐ,ランニング
ラフティング,らふてぃんぐ,ラフティング
キャンプ,きゃんぷ,キャンプ
スノーボード,すのーぼーど,スノーボード
サーフィン,さーふぃん,サーフィン
日本車,にほんしゃ,ニホンシャ
外車,がいしゃ,ガイシャ
遊園地,ゆうえんち,ユウエンチ
国内,こくない,コクナイ
海外,かいがい,カイガイ
プログラム,ぷろぐらむ,プログラム
UI/UX,ゆーあい/ゆーえっくす,ユーアイ/ユーエックス
アートデザイン,あーとでざいん,アートデザイン
企画,きかく,キカク
マーケティング,まーけてぃんぐ,マーケティング
営業,えいぎょう,エイギョウ
英語,えいご,エイゴ
中国語,ちゅうごくご,チュウゴクゴ
韓国語,かんこくご,カンコクゴ
関西弁,かんさいべん,カンサイベン
海外勤務,かいがいきんむ,カイガイキンム
恋愛/ラブコメ,れんあいすらっしゅらぶこめ,レンアイスラッシュラブコメ
日常/ほのぼの,にちじょうすらっしゅほのぼの,ニチジョウスラッシュホノボノ
スポーツ/競技,すぽーつすらっしゅきょうぎ,スポーツスラッシュキョウギ
ホラー/サスペンス/推理,ほらーすらっしゅ さすぺんすすらっしゅ すいり,ホラースラッシュ サスペンススラッシュ スイリ
SF/ファンタジー,えすえふすらっしゅ ふぁんたじー,エスエフスラッシュ ファンタジー
ロボット/メカ,ろぼっとすらっしゅめか,ロボットスラッシュメカ
アクション/バトル,あくしょんすらっしゅばとる,アクションスラッシュバトル
コメディ/ギャグ,こめでぃすらっしゅぎゃぐ,コメディスラッシュギャグ
歴史/戦記,れきしすらっしゅせんき,レキシスラッシュセンキ
戦争/ミリタリー,せんそうすらっしゅみりたりー,センソウスラッシュミリタリー
ドラマ/青春,どらますらっしゅ せいしゅん,ドラマスラッシュ セイシュン
ショート,しょーと,ショート
2.5次元舞台系,にてんごーじ もとぶたいけい,ニテンゴージ モトブタイケイ
ライブ/ラジオ/その他,らいぶすらっしゅ らじおすらっしゅ そのた,ライブスラッシュ ラジオスラッシュ ソノタ
日本食,にほんしょく,ニホンショク
中華料理,ちゅうかりょうり,チュウカリョウリ
